Team-H,xG-H,xG-A,Team-A
Newcastle Utd,1.40,0.20,Everton
Liverpool,1.30,1.80,West Ham
Manchester Utd,1.50,0.60,Tottenham
Everton,1.45,0.95,Crystal Palace
Aston Villa,2.80,1.00,Brentford
Chelsea,1.10,0.80,Manchester Utd
Wolves,1.80,1.10,Leicester City
Tottenham,1.60,1.40,Newcastle Utd
Manchester City,1.90,0.40,Brighton
Leeds United,1.60,1.80,Fulham
Southampton,0.70,0.80,Arsenal
West Ham,1.80,0.40,Bournemouth
Nottingham Forest,1.90,1.60,Liverpool
Arsenal,2.30,0.40,Nottingham Forest
Brentford,1.40,0.60,Wolves
Crystal Palace,0.89,1.32,Southampton
Leicester City,0.70,1.00,Manchester City
Newcastle Utd,3.50,0.40,Aston Villa
Fulham,1.90,0.90,Everton
Brighton,1.90,1.30,Chelsea
Liverpool,1.80,1.70,Leeds United
Manchester Utd,1.20,1.10,West Ham
Bournemouth,0.50,2.00,Tottenham
Nottingham Forest,1.50,1.50,Brentford
West Ham,0.26,1.02,Crystal Palace
Tottenham,1.21,1.18,Liverpool
Southampton,1.74,0.86,Newcastle Utd
Leeds United,2.20,1.40,Bournemouth
Aston Villa,0.66,0.52,Manchester Utd
Manchester City,2.00,0.90,Fulham
Everton,1.20,1.70,Leicester City
Wolves,1.20,1.60,Brighton
Chelsea,0.29,2.25,Arsenal
Tottenham,1.80,1.10,Leeds United
Liverpool,1.90,1.10,Southampton
Manchester City,1.60,1.30,Brentford
Bournemouth,2.40,0.80,Everton
West Ham,1.40,1.80,Leicester City
Wolves,0.70,2.10,Arsenal
Brighton,0.60,1.50,Aston Villa
Fulham,1.40,2.50,Manchester Utd
Newcastle Utd,1.00,0.30,Chelsea
Nottingham Forest,1.10,1.20,Crystal Palace
Brentford,2.00,1.10,Tottenham
Southampton,1.90,1.60,Brighton
Arsenal,2.10,1.00,West Ham
Leicester City,0.50,1.90,Newcastle Utd
Leeds United,0.60,4.30,Manchester City
Aston Villa,1.40,2.70,Liverpool
Manchester Utd,2.40,0.70,Nottingham Forest
Crystal Palace,0.40,2.50,Fulham
Chelsea,1.80,0.50,Bournemouth
Everton,1.70,0.80,Wolves
Newcastle Utd,2.20,0.40,Leeds United
West Ham,1.30,1.60,Brentford
Tottenham,0.70,1.00,Aston Villa
Wolves,0.70,2.00,Manchester Utd
Fulham,1.50,0.80,Southampton
Manchester City,1.70,0.10,Everton
Nottingham Forest,1.40,0.90,Chelsea
Liverpool,2.20,1.00,Leicester City
Bournemouth,0.60,1.60,Crystal Palace
Brighton,1.20,2.90,Arsenal
Leeds United,1.60,1.40,West Ham
Leicester City,1.70,1.70,Fulham
Manchester Utd,2.20,0.60,Bournemouth
Aston Villa,1.80,0.90,Wolves
Brentford,1.70,2.00,Liverpool
Everton,1.30,2.20,Brighton
Southampton,0.50,1.40,Nottingham Forest
Arsenal,1.10,1.00,Newcastle Utd
Crystal Palace,0.80,1.40,Tottenham
Chelsea,0.40,2.10,Manchester City
Everton,1.40,1.20,Southampton
Wolves,0.90,1.10,West Ham
Brentford,1.40,0.60,Bournemouth
Tottenham,1.60,1.80,Arsenal
Chelsea,1.50,0.70,Crystal Palace
Nottingham Forest,2.40,1.00,Leicester City
Brighton,1.90,1.00,Liverpool
Aston Villa,1.20,2.40,Leeds United
Manchester Utd,1.70,0.60,Manchester City
Newcastle Utd,2.20,1.10,Fulham
